protein_ref,symbol,annotation,number_of_ubiquitination_sites,4x_Btz_rep1-4 Sp. Counts,Btz_Epox Sp. Counts,Usp2cc Sp. Counts,Btz_timepoints Sp. Counts,Btz_CHX Sp. Counts,SILAC_Chase_GG Sp. Counts,MLN_timepoints Sp. Counts,Btz_MLN_1st Sp. Counts,Btz_MLN_2nd Sp. Counts,CST_GG_PullDowns Sp. Counts
IPI:IPI00477270.1,LRP11,Low density lipoprotein receptor-related protein 11,1,0,0,0,0,1,0,0,0,0,0
IPI:IPI00477279.3,RPL12P2,similar to ribosomal protein L12,2,7,8,0,22,8,2,17,10,0,0
IPI:IPI00477313.3,HNRNPC,Isoform C2 of Heterogeneous nuclear ribonucleoproteins C1/C2,16,54,40,2,44,43,18,68,40,1,11
IPI:IPI00477352.5,PIAS2,Isoform 3 of E3 SUMO-protein ligase PIAS2,1,2,2,0,0,2,0,0,2,0,0
IPI:IPI00477401.4,FBXW9,Isoform 3 of F-box/WD repeat-containing protein 9,1,11,5,1,0,15,0,0,6,0,0
IPI:IPI00477416.4,ERCC8,"cDNA FLJ56290, highly similar to DNA excision repair protein ERCC-8",1,0,1,0,0,0,0,0,0,0,0
IPI:IPI00477428.1,L3MBTL3,Isoform 2 of Lethal(3)malignant brain tumor-like 3 protein,2,1,0,0,9,0,0,1,0,0,0
IPI:IPI00477468.1,CTR9,RNA polymerase-associated protein CTR9 homolog,10,17,14,1,0,15,5,0,14,0,0
IPI:IPI00477473.1,SERHL2,Putative uncharacterized protein SERHL2,1,0,0,0,0,1,1,0,0,0,0
IPI:IPI00477494.2,DRAP1,Isoform 2 of Dr1-associated corepressor,2,1,0,0,3,4,0,0,3,0,0
IPI:IPI00477495.3,H2BFS,Histone H2B type F-S,5,135,113,6,115,121,60,106,111,14,315
IPI:IPI00477526.2,C7orf28B;C7orf28A,Conserved hypothetical protein,6,42,35,3,13,36,14,16,40,12,0
IPI:IPI00477536.3,FLNB,Filamin B,1,0,0,0,1,0,0,0,0,0,0
IPI:IPI00477611.1,COL5A1,Collagen type V alpha 1,1,0,0,0,0,0,0,0,0,1,0
IPI:IPI00477616.6,PPP2R4,Isoform 1 of Serine/threonine-protein phosphatase 2A regulatory subunit B',2,2,1,0,1,2,0,0,4,4,0
IPI:IPI00477649.1,TPM3,tropomyosin 3 isoform 5,3,4,0,0,0,0,6,1,1,0,0
IPI:IPI00477663.1,RTN4,Isoform 4 of Reticulon-4,5,2,0,0,0,0,4,0,0,0,2
IPI:IPI00477686.2,GTF2F2,General transcription factor IIF subunit 2,3,9,5,0,0,5,0,0,9,2,0
IPI:IPI00477691.1,LOC150763,"Isoform 2 of Glycerol-3-phosphate acyltransferase 2, mitochondrial",6,94,70,29,43,48,12,3,60,42,0
IPI:IPI00477701.2,GOSR1,golgi SNAP receptor complex member 1 isoform 2,3,0,0,0,0,1,0,5,1,0,0
IPI:IPI00477702.4,AMDHD2,Isoform 1 of Putative N-acetylglucosamine-6-phosphate deacetylase,1,5,3,0,1,2,0,0,2,1,0
IPI:IPI00477719.5,CANX,32 kDa protein,1,0,0,0,0,0,1,0,0,0,0
IPI:IPI00477740.2,TYW1B,tRNA wybutosine-synthesizing protein 1 homolog B,1,1,0,0,0,0,0,0,0,0,0
IPI:IPI00477744.3,CEP350,Centrosomal protein 350kDa,1,1,0,0,0,0,0,0,0,0,0
IPI:IPI00477746.2,SETD4,SET domain containing 4 isoform c,1,1,2,0,0,0,2,0,0,0,0
IPI:IPI00477759.1,INTS2,Integrator complex subunit 2,4,19,9,1,2,4,0,0,9,7,0
IPI:IPI00477763.4,CDC42BPB,Serine/threonine-protein kinase MRCK beta,3,10,6,0,2,0,0,0,4,0,0
IPI:IPI00477773.2,MTX2,metaxin 2 isoform b,2,5,0,0,0,0,0,0,0,0,0
IPI:IPI00477803.4,SF3B2,Putative uncharacterized protein DKFZp781L0540 (Fragment),9,46,41,0,14,56,25,32,28,0,0
IPI:IPI00477806.1,TSC22D2,Isoform 1 of TSC22 domain family protein 2,2,4,1,2,4,0,10,1,1,1,0
IPI:IPI00477809.2,MAGED2,"Melanoma antigen family D, 2",7,0,0,1,0,8,3,4,0,0,3
IPI:IPI00477826.1,UBQLN4,Putative uncharacterized protein UBQLN4,3,0,0,0,4,0,0,8,3,0,0
IPI:IPI00477842.2,SFRS2B,"Isoform 1 of Splicing factor, arginine/serine-rich 2B",1,0,0,0,0,0,3,0,0,0,0
IPI:IPI00477850.4,SYTL3,Isoform 2 of Synaptotagmin-like protein 3,2,26,8,0,19,9,19,7,18,18,0
IPI:IPI00477887.1,DNAJC11,"DnaJ (Hsp40) homolog, subfamily C, member 11",4,10,4,1,0,1,1,9,5,0,0
IPI:IPI00477895.3,SCPEP1,Isoform 2 of Retinoid-inducible serine carboxypeptidase,1,0,0,0,0,0,0,0,0,0,2
IPI:IPI00477896.1,CELSR3,Anchor protein,2,4,2,0,7,2,0,1,1,0,0
IPI:IPI00477905.4,MGAT4B,"Isoform 1 of Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B",2,1,1,0,1,0,0,0,0,2,0
IPI:IPI00477949.1,ZMYM4,Isoform 1 of Zinc finger MYM-type protein 4,2,2,2,0,0,2,4,0,6,0,0
IPI:IPI00477966.2,TBC1D8B,135 kDa protein,7,15,14,3,0,12,3,0,10,12,0
IPI:IPI00477971.4,TBL3,Transducin beta-like protein 3,7,96,76,3,25,57,13,0,65,17,0
IPI:IPI00477982.1,RPS6KA1,"ribosomal protein S6 kinase, 90kDa, polypeptide 1 isoform b",1,0,4,0,0,0,0,0,0,0,0
IPI:IPI00477987.1,ITM2B,Integral membrane protein 2B,3,100,65,2,113,66,18,101,102,44,0
IPI:IPI00478023.1,ATP2A3,Isoform SERCA3D of Sarcoplasmic/endoplasmic reticulum calcium ATPase 3,3,16,3,3,3,2,0,0,2,8,0
IPI:IPI00478030.2,AMOTL2,Isoform 1 of Angiomotin-like protein 2,1,0,0,0,0,0,1,0,0,0,0
IPI:IPI00478031.6,NEIL2,Isoform 2 of Endonuclease VIII-like 2,1,1,0,0,0,3,0,0,0,0,0
IPI:IPI00478068.2,GSTCD,Isoform 1 of Glutathione S-transferase C-terminal domain-containing protein,3,1,3,0,0,4,1,0,1,0,0
IPI:IPI00478101.1,TOR3A,"Torsin family 3, member A",1,0,0,0,0,0,0,0,0,0,1
IPI:IPI00478114.3,-,Putative uncharacterized protein RPS17P2,1,0,0,0,0,0,0,0,0,0,2
IPI:IPI00478124.2,UCKL1,61 kDa protein,3,3,5,0,0,7,0,0,5,0,0
IPI:IPI00478128.2,GATAD2A,Putative uncharacterized protein GATAD2A,1,2,0,0,0,4,0,0,0,0,0
IPI:IPI00478157.2,CAMKV,Isoform 1 of CaM kinase-like vesicle-associated protein,1,0,0,0,0,6,0,0,0,0,0
IPI:IPI00478161.6,MORC4,"zinc finger, CW type with coiled-coil domain 2 isoform b",6,28,41,1,4,27,5,0,30,6,0
IPI:IPI00478181.4,SNX13,"cDNA FLJ56070, highly similar to Sorting nexin-13",4,3,3,0,2,1,0,0,1,0,1
IPI:IPI00478196.5,C2CD3,Isoform 1 of C2 domain-containing protein 3,2,0,8,0,0,0,0,0,0,0,0
IPI:IPI00478201.3,PIGK,Putative uncharacterized protein PIGK,1,0,0,0,0,0,0,0,0,10,0
IPI:IPI00478208.2,-,21 kDa protein,3,82,50,2,84,92,22,33,60,54,1
IPI:IPI00478215.2,CEP55,Centrosomal protein 55kDa,3,21,6,0,3,6,12,7,6,0,0
IPI:IPI00478216.1,FAM54A,Isoform 2 of Protein FAM54A,3,24,13,2,6,12,2,0,15,2,0
IPI:IPI00478229.2,RPP30,Ribonuclease P,1,0,0,0,0,5,0,0,5,0,0
IPI:IPI00478231.2,RHOA,Transforming protein RhoA,3,72,75,0,39,49,18,39,38,6,13
IPI:IPI00478232.3,TOP2A,Isoform 1 of DNA topoisomerase 2-alpha,24,113,128,11,30,176,9,180,181,24,0
IPI:IPI00478255.1,PPP4R1,Isoform 2 of Serine/threonine-protein phosphatase 4 regulatory subunit 1,2,0,2,0,0,1,0,0,0,0,0
IPI:IPI00478277.3,RPL10AP6,similar to ribosomal protein L10a,2,14,8,0,1,8,4,0,5,0,1
IPI:IPI00478278.1,HAUS7,UCH interacting protein 1 isoform b,4,23,14,6,2,12,4,0,9,0,0
IPI:IPI00478287.2,-,Putative uncharacterized protein ENSP00000352132,7,8,4,3,8,8,8,1,2,2,7
IPI:IPI00478302.2,TP53I11,p53-induced protein,2,0,0,0,0,8,1,14,5,0,0
IPI:IPI00478305.3,LRRC37B2,Isoform 1 of Putative LRRC37B-like protein 2,3,1,0,4,0,0,2,0,0,0,0
IPI:IPI00478313.2,CWF19L1,Isoform 3 of CWF19-like protein 1,1,0,3,0,0,3,0,0,1,0,0
IPI:IPI00478327.1,-,Similar to 40S ribosomal protein S9,4,2,0,0,0,1,2,2,2,1,2
IPI:IPI00478330.3,LAMB3,"cDNA FLJ61309, highly similar to Laminin beta-3 chain",2,7,3,1,2,1,0,0,2,1,0
IPI:IPI00478376.2,INPP5B,"Isoform 1 of Type II inositol-1,4,5-trisphosphate 5-phosphatase",2,6,4,0,0,3,0,0,4,0,0
IPI:IPI00478393.3,UBE2D3,Ubiquitin carrier protein (Fragment),1,14,0,0,36,6,10,11,3,1,0
IPI:IPI00478410.2,ATP5C1,"Isoform Liver of ATP synthase subunit gamma, mitochondrial",2,8,1,1,0,3,2,0,0,0,0
IPI:IPI00478430.1,RNF38,Isoform 3 of RING finger protein 38,1,4,5,1,0,9,0,0,5,0,0
IPI:IPI00478433.4,RSU1,Ras suppressor protein 1 variant 5,3,13,13,1,0,9,2,0,6,9,0
IPI:IPI00478435.1,KLF6,Isoform 2 of Krueppel-like factor 6,1,1,3,0,1,5,1,0,0,0,0
IPI:IPI00478436.3,NEIL2,Isoform 3 of Endonuclease VIII-like 2,2,1,1,0,0,3,0,0,0,0,0
IPI:IPI00478442.3,RTN4,Isoform 5 of Reticulon-4,6,2,0,0,0,7,4,4,1,1,2
IPI:IPI00478450.1,NDUFB11,"Isoform 2 of NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial",1,4,0,0,2,4,5,0,3,0,0
IPI:IPI00478463.2,-,23 kDa protein,1,0,0,0,0,0,0,6,6,0,3
IPI:IPI00478478.5,ENTPD6,ectonucleoside triphosphate diphosphohydrolase 6 isoform 2,2,3,3,1,0,6,0,0,3,0,0
IPI:IPI00478497.3,SLC25A46,Solute carrier family 25 member 46,1,0,0,0,0,0,0,0,0,1,0
IPI:IPI00478539.2,LOC645691,similar to heterogeneous nuclear ribonucleoprotein A1,2,9,0,0,3,0,0,0,0,0,1
IPI:IPI00478550.3,PCID2,Putative uncharacterized protein PCID2,2,13,7,1,7,3,3,0,10,0,0
IPI:IPI00478552.1,KIAA1245;NBPF14;NBPF12;LOC727908;NBPF10;NBPF8;NBPF9;NBPF1;NBPF11,Novel protein,2,22,16,0,3,12,4,0,12,10,0
IPI:IPI00478557.3,C12orf48,Isoform 7 of UPF0419 protein C12orf48,3,22,23,0,4,14,7,0,4,2,0
IPI:IPI00478559.3,NEDD4L,"NEDD4-2 minus WW2,3 variant",1,11,4,0,15,16,9,33,10,0,0
IPI:IPI00478565.2,PTK7,Isoform 4 of Tyrosine-protein kinase-like 7,6,31,33,1,19,24,2,44,30,0,0
IPI:IPI00478578.2,PPTC7,Putative uncharacterized protein PPTC7,1,0,0,0,0,6,0,0,2,0,0
IPI:IPI00478586.3,VPS13A,Isoform 2 of Vacuolar protein sorting-associated protein 13A,1,0,0,0,0,0,2,0,0,0,0
IPI:IPI00478596.2,NLE1,Notchless gene homolog variant (Fragment),1,1,0,0,1,1,0,0,0,0,0
IPI:IPI00478616.1,FAM111A,Protein FAM111A,1,2,2,0,0,2,0,0,2,0,0
IPI:IPI00478657.4,GRSF1,Isoform 1 of G-rich sequence factor 1,1,8,4,1,1,4,5,0,8,0,0
IPI:IPI00478662.3,ZC3H14,"cDNA FLJ53396, highly similar to Homo sapiens nuclear protein UKp68 , transcript variant 2, mRNA",11,36,3,0,73,41,5,147,52,14,0
IPI:IPI00478665.2,WAC,Isoform 2 of WW domain-containing adapter protein with coiled-coil,1,0,0,0,1,0,3,3,2,0,0
IPI:IPI00478723.3,NRD1,nardilysin isoform b,3,2,0,0,0,0,2,0,0,0,0
IPI:IPI00478737.3,RFWD3,RING finger and WD repeat domain-containing protein 3,4,45,21,1,30,15,12,15,22,7,0
IPI:IPI00478740.3,FAM92A2,similar to FAM92A1 protein,1,10,6,1,0,5,1,0,7,2,0
IPI:IPI00478748.3,KCTD3,Potassium channel tetramerisation domain containing 3,1,0,0,1,0,0,0,0,0,0,0
IPI:IPI00478749.2,TXNDC11,Isoform 1 of Thioredoxin domain-containing protein 11,1,1,0,0,0,0,0,0,0,0,0
IPI:IPI00478758.2,C10orf119,Isoform 1 of UPF0557 protein C10orf119,5,81,116,7,52,156,37,97,91,23,0
IPI:IPI00478787.3,RAB18,"RAB18, member RAS oncogene family",5,18,7,0,5,8,0,8,7,0,0
IPI:IPI00478794.2,TACC2,Isoform 3 of Transforming acidic coiled-coil-containing protein 2,1,0,0,0,0,3,0,2,0,0,0
IPI:IPI00478810.1,RPS10,Ribosomal protein S10,3,269,200,1,265,282,35,209,234,19,202
IPI:IPI00478838.3,FAR1,Fatty acyl-CoA reductase 1,7,22,14,5,5,12,0,0,15,7,0
IPI:IPI00478842.3,NHEDC2,Isoform 1 of Mitochondrial sodium/hydrogen exchanger NHA2,3,0,2,0,0,5,0,15,7,0,0
IPI:IPI00478861.3,ISYNA1,"cDNA FLJ34860 fis, clone NT2NE2012790, highly similar to Homo sapiens myo-inositol 1-phosphate synthase A1 (ISYNA1), mRNA",6,97,61,18,25,32,11,10,70,43,0
IPI:IPI00478874.1,SDCBP,syntenin isoform 2,2,0,0,0,0,0,2,0,0,0,5
IPI:IPI00478896.3,RPL7A,Ribosomal protein L7a,8,88,40,3,80,73,14,58,47,15,17
IPI:IPI00478899.1,ANGEL2,Isoform 1 of Protein angel homolog 2,2,0,2,0,0,11,2,0,3,0,0
IPI:IPI00478908.3,TUBA1C,29 kDa protein,6,271,150,53,204,276,60,575,277,78,296
IPI:IPI00478943.3,CEP55,Isoform 2 of Centrosomal protein of 55 kDa,5,21,6,0,3,6,13,7,7,0,0
IPI:IPI00478966.3,PFKFB3,"6-phosphofructo-2-kinase/fructose-2,6-biphosphata se 3",2,4,3,2,0,1,1,5,4,0,3
IPI:IPI00478968.2,SEC23B,Sec23 homolog B,3,21,13,2,10,14,13,0,19,5,0
IPI:IPI00478986.2,RPS4P21,Similar to 40S ribosomal protein S4,2,20,7,0,13,22,9,5,6,2,0
IPI:IPI00478989.3,SUSD1,Isoform 2 of Sushi domain-containing protein 1,1,0,0,0,0,0,2,0,0,1,0
IPI:IPI00478990.3,COPS7B,Isoform 2 of COP9 signalosome complex subunit 7b,2,124,144,8,243,183,38,93,103,46,0
IPI:IPI00479000.1,MCRS1,Isoform 1 of Microspherule protein 1,2,0,0,2,0,4,1,0,0,0,0
IPI:IPI00479018.2,SDCBP,Syntenin isoform 3,3,1,1,0,0,10,3,10,3,0,5
IPI:IPI00479038.1,TCF7L2,Transcription factor 7-like 2,1,0,3,0,0,0,0,0,0,0,0
IPI:IPI00479064.5,AKAP12,Putative uncharacterized protein AKAP12 (Fragment),7,56,41,0,52,47,25,83,45,0,0
IPI:IPI00479065.3,GPSM1,"G-protein signaling modulator 1 (AGS3-like, C. elegans) isoform a",3,11,2,0,1,2,0,0,2,0,0
IPI:IPI00479078.1,OCLN,Tight junction protein occludin TM4 minus,2,35,24,0,58,24,23,69,33,3,0
IPI:IPI00479083.3,C10orf137,Isoform 2 of Erythroid differentiation-related factor 1,4,0,0,0,0,0,11,0,0,0,0
IPI:IPI00479108.1,CPT1A,"Isoform 2 of Carnitine O-palmitoyltransferase 1, liver isoform",5,27,18,0,6,9,4,2,6,3,6
IPI:IPI00479125.3,SRGAP2,SLIT-ROBO Rho GTPase-activating protein 2,3,3,1,1,0,2,0,0,1,2,0
IPI:IPI00479128.4,RNF220,cDNA FLJ54701,1,22,9,2,23,25,12,33,11,0,0
IPI:IPI00479135.1,HECTD1,HECTD1 protein (Fragment),1,0,0,0,0,1,0,1,0,0,0
IPI:IPI00479145.2,KRT19,"Keratin, type I cytoskeletal 19",14,236,100,41,92,96,34,65,143,115,0
IPI:IPI00479154.1,NDUFB8,"cDNA FLJ52503, highly similar to NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 8, mitochondrial",2,60,54,7,60,27,20,5,34,63,0
IPI:IPI00479156.1,TMEM164,Transmembrane protein 164,1,1,0,0,0,0,0,0,0,0,0
IPI:IPI00479176.3,POTEG,Isoform 3 of POTE ankyrin domain family member G,1,0,0,0,0,0,1,0,0,0,0
IPI:IPI00479177.3,ATL1,atlastin GTPase 1 isoform b,1,1,2,0,0,5,0,0,1,0,0
IPI:IPI00479185.1,TPM3,tropomyosin 3 isoform 4,6,5,0,0,6,12,6,4,2,0,7
IPI:IPI00479186.7,PKM2,Isoform M2 of Pyruvate kinase isozymes M1/M2,23,237,168,22,99,166,58,82,166,105,102
IPI:IPI00479187.3,KBTBD4,Putative uncharacterized protein KBTBD4,1,0,3,0,0,0,0,0,0,0,0
IPI:IPI00479191.2,HNRNPH1,51 kDa protein,6,24,23,1,11,44,10,39,35,1,60
IPI:IPI00479201.3,AHCYL1,Isoform 2 of Putative adenosylhomocysteinase 2,2,6,0,0,0,0,0,0,0,0,0
IPI:IPI00479209.2,KHDRBS1,"cDNA FLJ54590, highly similar to KH domain-containing, RNA-binding, signaltransduction-associated protein 1",1,0,0,0,0,1,0,0,0,0,0
IPI:IPI00479214.1,PTMA;PTMAP5,"Novel protein similar to prothymosin, alpha",3,80,66,2,68,85,23,98,82,4,2
IPI:IPI00479217.1,HNRNPU,Isoform Short of Heterogeneous nuclear ribonucleoprotein U,17,108,88,2,115,118,35,131,78,42,97
IPI:IPI00479235.3,CDK5RAP2,CDK5 regulatory subunit associated protein 2,4,4,0,0,0,5,0,0,1,1,0
IPI:IPI00479242.1,HLA-B,"HLA class I histocompatibility antigen, B-8 alpha chain",4,28,16,6,12,12,6,0,22,30,15
IPI:IPI00479262.4,EIF4G1,Isoform B of Eukaryotic translation initiation factor 4 gamma 1,4,1,0,0,2,1,3,0,0,0,0
IPI:IPI00479273.4,RABEP2,41 kDa protein,1,11,6,0,2,11,8,0,6,0,0
IPI:IPI00479281.3,-,27 kDa protein,1,0,0,0,0,1,0,0,1,0,0
IPI:IPI00479283.1,CD46,Isoform 3 of Membrane cofactor protein,2,97,96,5,110,106,46,148,114,67,6
IPI:IPI00479306.1,PSMB5,Proteasome subunit beta type-5,2,149,88,17,131,126,33,77,105,55,3
IPI:IPI00479307.4,MYH10,Isoform 2 of Myosin-10,4,4,3,0,0,3,2,2,5,0,2
IPI:IPI00479325.1,TRIM37,Isoform 2 of Tripartite motif-containing protein 37,2,14,4,0,2,8,0,0,3,0,0
IPI:IPI00479357.3,BSCL2,Seipin,1,4,0,0,0,0,0,0,0,0,0
IPI:IPI00479363.3,ATXN2L,Isoform 7 of Ataxin-2-like protein,2,5,0,0,0,0,0,0,0,0,0
IPI:IPI00479366.2,-,Putative uncharacterized protein ENSP00000351543 (Fragment),5,171,154,15,217,264,61,231,165,87,7
IPI:IPI00479376.3,KITLG,Isoform 3 of Kit ligand,2,209,211,32,262,271,85,294,251,209,0
IPI:IPI00479385.4,ASMTL,Isoform 1 of N-acetylserotonin O-methyltransferase-like protein,3,1,1,0,0,2,0,0,8,0,0
IPI:IPI00479416.2,MYOF,Isoform 4 of Myoferlin,1,22,14,2,11,14,6,12,19,16,0
IPI:IPI00479420.3,CAMKK2,Isoform 7 of Calcium/calmodulin-dependent protein kinase kinase 2,4,5,8,1,0,2,6,0,7,6,0
IPI:IPI00479424.2,KLC1,Isoform J of Kinesin light chain 1,1,0,0,0,0,0,1,0,0,0,0
IPI:IPI00479432.1,METTL13,Isoform 3 of Methyltransferase-like protein 13,3,14,14,0,3,14,2,0,13,3,0
IPI:IPI00479444.2,MKNK2,Isoform 2 of MAP kinase-interacting serine/threonine-protein kinase 2,1,0,0,0,0,1,0,0,0,0,0
IPI:IPI00479473.2,CHIC1,Isoform 1 of Cysteine-rich hydrophobic domain 1 protein,1,0,0,0,1,0,0,0,0,0,0
IPI:IPI00479483.3,TCF7L2,transcription factor 7-like 2 isoform 3,3,0,6,0,0,4,2,0,0,0,0
IPI:IPI00479498.2,MINK1,misshapen/NIK-related kinase isoform 4,1,0,0,2,0,0,0,0,0,0,0
IPI:IPI00479503.1,DYNLT1,"Dynein, light chain, Tctex-type 1, isoform CRA_a",1,0,0,0,0,0,2,8,0,4,0
IPI:IPI00479509.2,YBX1,RcNSEP1 (Fragment),3,147,124,0,174,169,69,241,133,49,0
IPI:IPI00479510.2,SCP2,Isoform SCP2 of Non-specific lipid-transfer protein,3,4,3,0,4,5,2,16,8,0,9
IPI:IPI00479517.2,-,14 kDa protein,1,0,0,0,0,0,0,1,1,0,0
IPI:IPI00479534.4,MED23,"Cofactor required for Sp1 transcriptional activation, subunit 3, 130kDa",5,16,4,11,12,7,6,0,14,8,0
IPI:IPI00479537.1,ECHDC1,Uncharacterized hypothalamus protein HCDASE,7,20,22,0,5,14,2,0,11,3,0
IPI:IPI00479543.2,RPS26P31,similar to ribosomal protein S26,1,26,23,0,25,29,8,34,25,30,0
IPI:IPI00479545.9,KDM3A,Lysine-specific demethylase 3A,4,14,15,0,15,12,7,14,6,1,0
IPI:IPI00479559.3,P704P,ANKRD26-like family C member ENSP00000349402,2,1,0,0,0,0,1,0,0,0,0
IPI:IPI00479592.3,MED25,Isoform 1 of Mediator of RNA polymerase II transcription subunit 25,1,8,10,0,0,9,9,0,4,11,0
IPI:IPI00479595.3,ZC3HC1,Isoform 3 of Nuclear-interacting partner of ALK,2,5,3,0,0,0,5,0,0,0,0
IPI:IPI00479614.3,RAD23B,RAD23 homolog B,2,76,76,4,56,73,33,144,63,32,0
IPI:IPI00479623.2,P4HTM,Isoform 3 of Transmembrane prolyl 4-hydroxylase,2,0,4,0,0,0,0,0,0,0,2
IPI:IPI00479630.4,FXR1,Isoform 3 of Fragile X mental retardation syndrome-related protein 1,4,1,1,0,0,15,0,4,1,0,3
IPI:IPI00479676.5,SPAG9,Isoform 4 of C-jun-amino-terminal kinase-interacting protein 4,2,2,0,0,2,0,1,4,4,2,0
IPI:IPI00479721.1,SLC25A23,Isoform 2 of Calcium-binding mitochondrial carrier protein SCaMC-3,2,2,0,0,0,1,0,0,0,0,0
IPI:IPI00479732.1,SLC43A1,Isoform 2 of Large neutral amino acids transporter small subunit 3,1,24,22,2,9,28,3,42,13,0,0
IPI:IPI00479743.3,POTEE,Isoform 1 of POTE ankyrin domain family member E,5,14,11,1,0,5,8,7,10,0,3
IPI:IPI00479746.2,MFAP3L,Isoform 1 of Microfibrillar-associated protein 3-like,1,6,6,0,0,2,0,2,2,0,0
IPI:IPI00479758.2,CACNA2D2,Isoform 2 of Voltage-dependent calcium channel subunit alpha-2/delta-2,1,0,0,0,0,0,0,0,0,2,0
IPI:IPI00479761.1,ANKRD30A,Ankyrin repeat domain 30A,2,0,0,0,0,0,0,0,0,0,2
IPI:IPI00479786.5,KHSRP,KH-type splicing regulatory protein,5,62,48,0,65,63,17,54,29,13,0
IPI:IPI00479789.2,C1orf103,Isoform 1 of Uncharacterized protein C1orf103,4,9,14,0,1,12,2,0,17,0,0
IPI:IPI00479817.2,GOSR1,golgi SNAP receptor complex member 1 isoform 3,3,0,0,0,0,1,0,5,1,0,0
IPI:IPI00479823.1,RSF1,Isoform 3 of Remodeling and spacing factor 1,8,1,1,0,0,7,1,13,9,0,0
IPI:IPI00479834.3,LAMA2,Putative uncharacterized protein LAMA2,2,2,0,0,0,0,1,0,0,0,0
IPI:IPI00479837.4,ANO1,111 kDa protein,3,0,0,0,0,3,3,0,0,0,0
IPI:IPI00479876.1,HAX1,HCLS1 associated protein X-1,1,0,0,0,0,0,0,0,0,0,1
IPI:IPI00479877.4,ALDH9A1,aldehyde dehydrogenase 9A1,2,0,0,0,0,0,1,0,0,0,6
IPI:IPI00479899.1,PMS1,PMS1 protein,1,0,0,0,0,1,0,0,0,0,0
IPI:IPI00479905.5,NDUFB10,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10,3,41,31,4,18,22,9,0,32,29,4
IPI:IPI00479918.2,SLC39A14,"solute carrier family 39 (zinc transporter), member 14 isoform b",2,19,19,0,20,30,6,53,27,38,0
IPI:IPI00479926.3,RPS6KA4,Isoform 2 of Ribosomal protein S6 kinase alpha-4,4,6,26,0,1,10,2,0,11,13,0
IPI:IPI00479931.1,TSPY2,Testis-specific Y-encoded protein 2,6,0,0,0,0,0,0,0,0,0,200
IPI:IPI00479933.2,BTBD7,Isoform 5 of BTB/POZ domain-containing protein 7,1,6,10,0,0,6,0,0,3,0,0
IPI:IPI00479934.1,SCP2,sterol carrier protein 2 isoform 2 precursor,3,4,3,0,4,5,2,16,8,0,9
IPI:IPI00479941.3,POTEH,Putative uncharacterized protein POTEH,1,0,0,0,0,0,1,0,0,0,0
IPI:IPI00479946.3,STIP1,STIP1 protein,7,11,15,0,4,13,14,9,11,2,2
IPI:IPI00479951.4,FASTKD2,Isoform 2 of FAST kinase domain-containing protein 2,3,6,2,0,0,3,0,0,2,0,0
IPI:IPI00479988.1,RAB18,"RAB18, member RAS oncogene family",4,18,7,0,5,8,0,6,7,0,0
IPI:IPI00479997.4,STMN1,Stathmin,6,23,23,0,7,29,10,45,23,0,7
IPI:IPI00480022.1,GOLGA7,Golgin subfamily A member 7,2,73,56,3,88,69,40,115,80,33,0
IPI:IPI00480032.3,RPL21P53,similar to hCG1782414 isoform 2,2,0,0,0,0,1,6,0,0,0,3
IPI:IPI00480042.3,ASPM,Isoform 2 of Abnormal spindle-like microcephaly-associated protein,1,1,0,0,0,0,0,0,0,0,0
IPI:IPI00480085.6,DNM3,Putative uncharacterized protein DNM3,1,0,0,0,0,1,0,0,0,0,0
IPI:IPI00480103.3,FAM83D,hypothetical protein LOC81610,7,31,14,2,0,30,5,0,26,5,0
IPI:IPI00480122.4,PUM1,Putative uncharacterized protein PUM1,6,14,5,0,0,10,5,0,4,0,7
IPI:IPI00480142.2,CUL4B,Isoform 2 of Cullin-4B,5,25,4,0,11,5,12,5,5,3,0
IPI:IPI00480148.1,DNMBP,Isoform 2 of Dynamin-binding protein,3,4,3,3,1,0,2,0,1,0,0
IPI:IPI00480160.4,VEZT,Isoform 6 of Vezatin,1,0,0,0,0,0,2,0,0,0,0
IPI:IPI00480183.3,PTPRF,Protein,4,2,0,0,0,0,0,34,12,0,0
IPI:IPI00513693.1,PTP4A1,"Protein tyrosine phosphatase type IVA, member 1",1,1,0,0,0,0,0,0,0,0,0
IPI:IPI00513698.1,TPM2,Tropomyosin 2,7,12,8,0,1,4,17,2,2,2,0
IPI:IPI00513701.1,TMEM222,Transmembrane protein 222,2,16,7,0,0,14,2,0,8,2,0
IPI:IPI00513703.1,CCT3,"Chaperonin containing TCP1, subunit 3",4,42,26,4,14,50,5,3,31,24,15
IPI:IPI00513728.2,BAT3,HLA-B associated transcript 3,3,57,49,5,20,34,9,73,36,23,0
IPI:IPI00513743.1,HSPH1,Isoform 3 of Heat shock protein 105 kDa,10,15,11,1,0,10,5,0,12,0,37
IPI:IPI00513754.1,ODF2,Outer dense fiber of sperm tails 2,1,7,7,2,0,4,0,0,5,0,0
IPI:IPI00513759.3,MPP7,Putative uncharacterized protein MPP7,1,2,2,0,0,2,0,0,2,0,0
